id,closeness_to_holiday,B,Month,product_page_duration,BounceRates,info_page_duration,total_duration,device,num_of_admin_pages,num_of_product_pages,C,ExitRates,num_of_info_pages,D,user_type,Region,admin_page_duration,PageValues,A,Weekend,internet_browser,purchase
16,0.0,113.84032337684653,Feb,0.0 minutes,0.2,0.0 minutes,0.0,1.0,0.0,1.0,log8080,0.2,0.0,,Returning_Visitor,4.0,0.0,0.0,c_3,0.0,safari_14,0
17,0.0,106.97295025256807,Feb,334.96666669999996 minutes,0.0,0.0 minutes,,1.0,0.0,13.0,log404,0.007692308,0.0,,Returning_Visitor,1.0,,0.0,c_4,1.0,safari_15.4,0
18,0.0,97.90588579344286,Feb,32.0 minutes,0.0,0.0 minutes,32.0,2.0,0.0,2.0,log202,0.1,0.0,,Returning_Visitor,1.0,0.0,0.0,c_3,0.0,chrome_99.1.3,0
19,0.0,94.00964579499276,Feb,2981.166667 minutes,0.0,0.0 minutes,2981.166667,2.0,0.0,20.0,log404,0.01,,,Returning_Visitor,4.0,0.0,0.0,,0.0,edge_97.0.1072.76,0
20,1.0,108.01866105057293,Feb,136.16666669999998 minutes,0.0,0.0 minutes,136.16666669999998,2.0,0.0,8.0,log_100,0.008333333,0.0,,Returning_Visitor,5.0,0.0,0.0,c_1,1.0,chrome_80,0
21,0.0,98.0513842751067,Feb,0.0 minutes,0.2,0.0 minutes,,3.0,0.0,2.0,log400,0.2,0.0,,Returning_Visitor,1.0,0.0,0.0,c_3,0.0,browser_3_v18,0
23,0.8,109.46542223940422,Feb,15.0 minutes,0.0,0.0 minutes,,2.0,0.0,2.0,log404,0.1,0.0,,Returning_Visitor,1.0,0.0,0.0,c_3,0.0,edge_98.0.1108.84,0
24,,91.51792558602244,Feb,0.0 minutes,0.2,0.0 minutes,0.0,2.0,,1.0,log202,0.2,0.0,,Returning_Visitor,4.0,0.0,0.0,c_1,1.0,chrome_80,0
25,,97.02891278731826,Feb,156.0 minutes,0.0,0.0 minutes,,1.0,0.0,5.0,log404,0.04,0.0,,Returning_Visitor,9.0,0.0,0.0,c_3,0.0,safari_13,0
27,0.0,103.64193474982028,Feb,76.0 minutes,0.05,0.0 minutes,,1.0,0.0,4.0,log_100,0.1,0.0,,Returning_Visitor,1.0,0.0,0.0,c_3,0.0,safari_13,0
28,0.2,90.60686652733105,Feb,63.0 minutes,0.0,0.0 minutes,63.0,2.0,0.0,4.0,log400,0.05,0.0,,Returning_Visitor,1.0,0.0,0.0,c_3,0.0,browser_6_v14,0
29,0.4,87.26163422767081,Feb,1582.75 minutes,0.043478261,0.0 minutes,1588.75,3.0,1.0,45.0,log400,0.050821255999999995,1.0,,Returning_Visitor,1.0,6.0,54.17976426,c_1,0.0,chrome_98.0.1,0
30,0.0,83.1427370559752,Feb,35.0 minutes,0.0,0.0 minutes,,1.0,0.0,2.0,log_100,0.1,0.0,,Returning_Visitor,6.0,0.0,0.0,c_3,0.0,,0
31,0.0,96.58878357744085,Feb,78.0 minutes,0.0,0.0 minutes,,1.0,0.0,3.0,log400,0.066666667,,,Returning_Visitor,6.0,0.0,0.0,c_6,1.0,chrome_80,0
32,0.0,107.13680714049276,Feb,209.5 minutes,0.0,0.0 minutes,,2.0,0.0,8.0,log_100,0.025,0.0,,Returning_Visitor,1.0,0.0,0.0,c_1,0.0,chrome_89,0
33,0.0,81.60040189334906,Feb,183.66666669999998 minutes,0.04,0.0 minutes,183.66666669999998,1.0,0.0,10.0,log202,0.08,0.0,,Returning_Visitor,3.0,0.0,0.0,c_1,0.0,safari_13,0
34,0.0,83.31060547098565,Feb,380.5 minutes,0.014285714,0.0 minutes,,2.0,0.0,14.0,log404,0.028571429,0.0,,Returning_Visitor,1.0,0.0,0.0,c_1,0.0,chrome_90.1.7,0
35,0.0,104.3032378243248,Feb,2086.242857 minutes,0.015384615,0.0 minutes,,2.0,0.0,52.0,log200,0.020352564,0.0,,Returning_Visitor,7.0,0.0,0.0,c_1,0.0,chrome_99.1.3,0
36,0.0,88.38501179464059,Feb,388.0 minutes,0.025,0.0 minutes,,3.0,0.0,8.0,log202,0.05625,0.0,,Returning_Visitor,1.0,0.0,0.0,c_4,1.0,chrome_99.1.3,0
37,0.8,113.98640308264234,Feb,298.0 minutes,0.0,0.0 minutes,,2.0,2.0,5.0,log200,0.028571429,,,Returning_Visitor,8.0,18.0,0.0,c_4,0.0,chrome_89,0
38,0.6,107.04239853306497,Feb,63.0 minutes,0.028571429,0.0 minutes,63.0,2.0,0.0,7.0,log202,0.071428571,0.0,,Returning_Visitor,1.0,0.0,0.0,c_3,0.0,chrome_89,0
39,0.0,111.61109678495126,Feb,482.0 minutes,0.0,0.0 minutes,482.0,2.0,0.0,9.0,log400,0.022222222000000003,0.0,,Returning_Visitor,1.0,0.0,0.0,c_6,0.0,browser_5_v11,0
40,0.0,103.87164732279213,Feb,4084.393939 minutes,0.0,0.0 minutes,4093.393939,2.0,1.0,46.0,log200,0.001794872,0.0,,Returning_Visitor,8.0,9.0,0.0,c_4,0.0,chrome_98.0.1,0
41,0.6,97.194806586384,Feb,22.0 minutes,0.0,0.0 minutes,22.0,1.0,0.0,3.0,log202,0.066666667,0.0,,Returning_Visitor,3.0,0.0,0.0,c_2,0.0,safari_15.2,0
42,0.0,85.55518853201981,Feb,310.1666667 minutes,0.0,0.0 minutes,310.1666667,1.0,0.0,15.0,log_100,0.006666666999999999,0.0,,Returning_Visitor,4.0,0.0,0.0,c_4,0.0,safari_15,0
43,0.4,105.80172855470121,Feb,,0.0,0.0 minutes,,3.0,0.0,2.0,log404,0.05,0.0,,Returning_Visitor,2.0,0.0,0.0,c_3,0.0,chrome_99.1.4,0
44,0.0,87.87226778731217,Feb,88.0 minutes,0.0,0.0 minutes,88.0,4.0,0.0,4.0,log_100,0.05,0.0,,Returning_Visitor,1.0,0.0,0.0,c_3,0.0,safari_15.4,0
45,0.2,90.56265086855903,Feb,622.25 minutes,0.003030303,0.0 minutes,622.25,2.0,0.0,22.0,log404,0.006060606,0.0,,Returning_Visitor,1.0,,0.0,c_4,0.0,browser_5_v20,0
46,0.0,97.37564259265369,Feb,,0.017142857,0.0 minutes,222.4,1.0,0.0,14.0,log8080,0.057142857000000005,0.0,,Returning_Visitor,1.0,0.0,0.0,c_2,0.0,safari_15.4,0
47,0.2,108.66194271706635,Feb,80.0 minutes,0.066666667,0.0 minutes,80.0,3.0,,3.0,log400,0.133333333,0.0,,Returning_Visitor,1.0,0.0,0.0,c_3,0.0,chrome_99.1.4,0
48,0.0,100.06749540258194,Feb,800.8333332999999 minutes,0.0,0.0 minutes,800.8333332999999,3.0,0.0,11.0,log404,0.0036363640000000004,0.0,,Returning_Visitor,1.0,0.0,0.0,c_3,0.0,chrome_98.0.1,0
49,0.6,102.72461266162419,Feb,0.0 minutes,0.2,0.0 minutes,0.0,2.0,0.0,1.0,log404,0.2,0.0,,Returning_Visitor,3.0,0.0,0.0,c_2,0.0,,0
50,0.0,92.74429148203973,Feb,0.0 minutes,0.2,0.0 minutes,,1.0,0.0,1.0,log200,0.2,0.0,,Returning_Visitor,3.0,0.0,0.0,c_4,1.0,safari_13.1,0
52,1.0,122.48945570081746,Feb,29.0 minutes,0.0,0.0 minutes,,2.0,0.0,2.0,log8080,0.1,0.0,,Returning_Visitor,4.0,0.0,0.0,c_2,1.0,edge_97.0.1072.76,0
53,0.0,120.17485440773115,Feb,160.0 minutes,0.0,0.0 minutes,,4.0,0.0,4.0,log400,0.075,0.0,,Returning_Visitor,2.0,0.0,0.0,c_3,0.0,chrome_89,0
54,0.4,108.04083792820371,Feb,,0.05,0.0 minutes,135.66666669999998,,0.0,4.0,log_100,0.025,0.0,,Returning_Visitor,1.0,0.0,0.0,c_4,0.0,browser_3_v11,0
55,0.2,110.67503834784264,Feb,0.0 minutes,0.2,0.0 minutes,,2.0,0.0,1.0,log_100,0.2,0.0,,Returning_Visitor,1.0,,0.0,c_3,0.0,edge_96.0.1054.72,0
56,0.6,93.71170814757909,Feb,0.0 minutes,0.2,0.0 minutes,,3.0,0.0,1.0,log200,0.2,0.0,,Returning_Visitor,3.0,0.0,0.0,c_3,0.0,chrome_99.1.4,0
57,0.2,96.87363800279952,Feb,998.7416667000001 minutes,0.0,120.0 minutes,1174.7416667000002,2.0,4.0,36.0,log_100,0.014736467,2.0,,Returning_Visitor,4.0,56.0,19.44707913,c_1,0.0,chrome_90.1.7,0
58,0.4,110.1737968113045,Feb,104.0 minutes,0.0,0.0 minutes,104.0,2.0,0.0,4.0,log400,0.05,0.0,,Returning_Visitor,6.0,0.0,0.0,c_3,0.0,browser_6_v12,0
59,0.6,85.25907261346373,Feb,381.6865079 minutes,0.011764706000000002,0.0 minutes,397.6865079,2.0,2.0,16.0,log200,0.046568627,0.0,,Returning_Visitor,2.0,16.0,0.0,c_1,0.0,edge_99.0.1150.46,0
60,0.4,93.80176080729571,Feb,169.0 minutes,0.0,0.0 minutes,,1.0,0.0,6.0,log404,0.016666667,0.0,,Returning_Visitor,3.0,0.0,0.0,c_3,0.0,safari_13.1,0
61,0.0,99.67283857158199,Feb,400.8 minutes,0.05,0.0 minutes,400.8,1.0,0.0,8.0,log8080,0.120833333,0.0,,Returning_Visitor,1.0,0.0,0.0,c_3,0.0,safari_13.1,0
62,0.0,98.1392015785797,Feb,1553.583333 minutes,0.009000000000000001,0.0 minutes,1832.9999997,1.0,12.0,42.0,log404,0.019666667,0.0,,Returning_Visitor,3.0,279.4166667,38.30849268,c_2,0.0,safari_15.2,0
63,0.0,105.07418613674825,Feb,706.5 minutes,0.0,0.0 minutes,706.5,2.0,0.0,14.0,log202,0.007142857,0.0,,Returning_Visitor,5.0,0.0,0.0,c_4,1.0,chrome_90.1.7,0
64,0.0,101.02692469505516,Feb,0.0 minutes,0.2,0.0 minutes,0.0,2.0,,1.0,log8080,0.2,,,Returning_Visitor,4.0,0.0,0.0,,0.0,chrome_90.1.7,0
65,0.8,113.81253565989883,Feb,,0.0,0.0 minutes,886.1666666299999,2.0,3.0,27.0,log_100,0.012643678,0.0,,Returning_Visitor,3.0,87.83333333,22.9160357,c_1,0.0,chrome_98.0.1,1
66,0.0,104.45337322291111,Feb,6951.972222 minutes,0.002150538,0.0 minutes,,4.0,4.0,90.0,log404,0.015013034,0.0,,Returning_Visitor,1.0,44.0,0.0,c_3,0.0,safari_13.1,0
67,0.6,110.3505276280068,Feb,0.0 minutes,0.2,0.0 minutes,0.0,2.0,0.0,1.0,log8080,0.2,0.0,,Returning_Visitor,5.0,0.0,0.0,c_1,0.0,chrome_89,0
68,0.0,102.92249203364416,Feb,902.0 minutes,0.0,0.0 minutes,,2.0,0.0,18.0,log_100,0.0074074069999999995,0.0,,Returning_Visitor,2.0,0.0,0.0,c_4,0.0,browser_7_v11,0
69,0.2,100.95373992422603,Feb,0.0 minutes,0.2,0.0 minutes,,3.0,0.0,1.0,log200,0.2,0.0,,Returning_Visitor,3.0,0.0,0.0,c_3,0.0,chrome_98.0.1,0
70,0.0,103.63090135314691,Feb,0.0 minutes,0.2,0.0 minutes,,2.0,0.0,1.0,log_100,0.2,0.0,,Returning_Visitor,1.0,0.0,0.0,c_2,0.0,browser_6_v14,0
71,0.0,106.29784932270486,Feb,197.37777780000002 minutes,0.025,,197.37777780000002,2.0,0.0,20.0,log400,0.0525,0.0,,Returning_Visitor,6.0,0.0,0.0,c_1,0.0,browser_6_v12,0
72,0.4,120.97020433566507,Feb,43.0 minutes,0.0,0.0 minutes,43.0,2.0,0.0,,log8080,0.1,0.0,,Returning_Visitor,3.0,0.0,0.0,c_3,0.0,chrome_98.0.1,0
74,0.0,108.04642747793997,Feb,,0.0,0.0 minutes,,2.0,0.0,3.0,log200,0.066666667,0.0,,Returning_Visitor,3.0,,0.0,c_3,0.0,edge_99.0.1150.46,0
75,0.0,90.37499077491992,Feb,588.3333332999999 minutes,0.0,0.0 minutes,,2.0,0.0,16.0,log_100,0.025,,,Returning_Visitor,1.0,0.0,0.0,c_1,0.0,edge_96.0.1054.75,0
76,0.0,88.00183992253453,Feb,2111.341667 minutes,0.004347826,0.0 minutes,3117.008334,2.0,10.0,36.0,log404,0.014492753999999998,0.0,,Returning_Visitor,1.0,1005.666667,11.43941195,c_2,0.0,browser_6_v16,1
77,0.6,101.32919058627881,Feb,76.0 minutes,0.0,0.0 minutes,76.0,3.0,0.0,2.0,log8080,0.05,0.0,,Returning_Visitor,3.0,0.0,0.0,c_3,0.0,chrome_99.1.3,0
78,1.0,119.48777986093697,Feb,0.0 minutes,0.2,0.0 minutes,,,0.0,1.0,log202,0.2,0.0,,Returning_Visitor,1.0,,0.0,c_3,1.0,safari_15.4,0
79,0.4,106.74657473361805,Feb,0.0 minutes,0.2,0.0 minutes,0.0,1.0,0.0,,log404,0.2,,,Returning_Visitor,1.0,0.0,0.0,c_3,0.0,safari_13.1,0
80,,94.85782979517384,Feb,208.0 minutes,0.0,0.0 minutes,,4.0,0.0,7.0,log8080,0.028571429,0.0,,Returning_Visitor,1.0,0.0,0.0,c_5,1.0,safari_15.4,0
81,0.8,89.35919628311278,Feb,270.0 minutes,0.0,0.0 minutes,,1.0,0.0,4.0,log200,0.016666667,0.0,,Returning_Visitor,1.0,0.0,0.0,c_3,0.0,safari_14.1,0
82,0.0,75.45281318200101,Feb,39.5 minutes,0.0,0.0 minutes,,2.0,,6.0,log200,0.02,0.0,,Returning_Visitor,1.0,0.0,0.0,c_3,0.0,chrome_89,0
83,0.0,100.05564083351015,Feb,375.0 minutes,0.016666667,0.0 minutes,,3.0,0.0,12.0,log200,0.058333333,0.0,,Returning_Visitor,4.0,0.0,0.0,c_1,0.0,,0
84,0.8,94.18888562494524,Feb,0.0 minutes,0.2,0.0 minutes,,2.0,0.0,1.0,log400,0.2,0.0,,Returning_Visitor,2.0,0.0,0.0,c_1,1.0,chrome_98.0.1,0
86,0.0,102.47094182090983,Feb,150.0 minutes,0.057142857000000005,0.0 minutes,,2.0,0.0,7.0,log202,0.085714286,0.0,,Returning_Visitor,2.0,0.0,0.0,c_1,0.0,chrome_90.1.7,0
87,0.0,112.44238462733061,Feb,138.0 minutes,0.0,,,1.0,0.0,3.0,log8080,0.066666667,,,Returning_Visitor,1.0,0.0,0.0,c_3,0.0,safari_13.1,0
88,0.4,115.92814431115042,Feb,337.5 minutes,0.028571429,0.0 minutes,,4.0,0.0,7.0,log8080,0.023809524,0.0,,Returning_Visitor,3.0,0.0,0.0,c_3,0.0,safari_13.1,0
90,,99.07310577708884,Feb,168.84615380000002 minutes,0.0,0.0 minutes,,1.0,2.0,15.0,log8080,0.011764706000000002,0.0,,Returning_Visitor,1.0,36.0,0.0,c_3,0.0,safari_14,0
91,0.0,112.61614877307065,Feb,0.0 minutes,0.2,0.0 minutes,,1.0,0.0,1.0,log202,0.2,0.0,,Returning_Visitor,1.0,0.0,0.0,c_2,1.0,safari_15.4,0
92,0.0,85.69380828913737,Feb,52.0 minutes,0.0,0.0 minutes,52.0,1.0,0.0,2.0,log400,0.1,0.0,,Returning_Visitor,1.0,0.0,0.0,c_3,0.0,safari_15.2,0
93,0.0,98.92306724917508,Feb,,0.0,0.0 minutes,649.25,2.0,0.0,13.0,log_100,0.015384615,0.0,,New_Visitor,1.0,0.0,0.0,c_5,0.0,chrome_89,0
94,0.6,111.83277384164184,Feb,925.3333332999998 minutes,0.0037037040000000004,0.0 minutes,,4.0,0.0,27.0,log400,0.025925926000000002,0.0,,Returning_Visitor,3.0,0.0,0.0,c_3,0.0,safari_13,0
95,0.2,126.6410391742507,Feb,33.0 minutes,0.0,0.0 minutes,,1.0,0.0,2.0,log_100,0.1,0.0,,Returning_Visitor,1.0,0.0,0.0,c_3,0.0,safari_15.4,0
96,0.2,104.97112144133281,Feb,1566.5 minutes,0.05,0.0 minutes,,,0.0,6.0,log404,0.066666667,0.0,,Returning_Visitor,1.0,0.0,0.0,c_3,0.0,safari_14,0
98,,101.82760028952403,Feb,50.0 minutes,0.038095238,0.0 minutes,50.0,,0.0,7.0,log202,0.08095238099999999,1.0,,Returning_Visitor,1.0,0.0,0.0,c_7,0.0,edge_96.0.1054.72,0
99,0.0,110.69019536154843,Feb,644.2 minutes,0.004166667,0.0 minutes,644.2,3.0,0.0,16.0,log404,0.031666667,0.0,,Returning_Visitor,3.0,0.0,0.0,c_4,0.0,chrome_90.1.7,0
100,0.4,83.95052586778488,Feb,2635.177778 minutes,0.0,0.0 minutes,,2.0,3.0,38.0,log_100,0.008947368,0.0,,Returning_Visitor,1.0,18.33333333,0.0,c_2,0.0,edge_96.0.1054.72,0
101,1.0,90.75973838214537,Feb,607.0 minutes,0.0,0.0 minutes,,1.0,4.0,19.0,log200,0.026984127000000004,0.0,,Returning_Visitor,7.0,61.0,17.53595893,c_4,1.0,safari_13.1,1
102,0.4,101.38269948063247,Feb,415.0 minutes,0.0,0.0 minutes,,1.0,0.0,6.0,log8080,0.033333333,0.0,,Returning_Visitor,3.0,0.0,0.0,c_2,0.0,safari_15.2,0
103,0.8,105.08722235032839,Feb,2083.530952 minutes,0.0,16.0 minutes,2130.530952,2.0,2.0,36.0,log202,0.01351025,1.0,,Returning_Visitor,4.0,,0.0,c_3,0.0,chrome_90.1.7,0
104,0.0,96.80856279104121,Feb,281.6666667 minutes,0.007058824,0.0 minutes,340.1666667,1.0,3.0,17.0,log_100,0.017647059,0.0,,Returning_Visitor,3.0,,0.0,c_4,0.0,safari_14,0
105,0.0,95.38919467113278,Feb,,0.15,0.0 minutes,,1.0,0.0,2.0,log404,0.15,0.0,,Returning_Visitor,7.0,0.0,0.0,c_2,0.0,safari_15.2,0
106,0.8,115.31336452448772,Feb,215.0 minutes,0.04444444400000001,0.0 minutes,215.0,4.0,0.0,9.0,log200,0.074074074,,,Returning_Visitor,1.0,0.0,0.0,c_3,0.0,safari_15.4,0
107,,110.1979957315915,Feb,162.0 minutes,0.05,0.0 minutes,162.0,1.0,0.0,12.0,log8080,0.066666667,0.0,,Returning_Visitor,1.0,0.0,0.0,c_3,0.0,safari_14,0
108,0.8,111.38672230956712,Feb,114.0 minutes,0.05,0.0 minutes,114.0,3.0,0.0,2.0,log202,0.066666667,0.0,,Returning_Visitor,1.0,0.0,0.0,c_3,0.0,browser_3_v12,0
109,0.0,91.31457167894338,Feb,5062.213753 minutes,0.000854701,94.0 minutes,5482.463753,2.0,6.0,128.0,log400,0.01791847,4.0,,Returning_Visitor,1.0,326.25,0.0,c_3,0.0,browser_5_v16,0
111,0.4,91.53726121137953,Feb,0.0 minutes,0.2,0.0 minutes,0.0,2.0,0.0,4.0,log_100,0.2,0.0,,Returning_Visitor,1.0,0.0,0.0,c_3,0.0,,0
113,0.2,94.22658559597876,Feb,436.5 minutes,0.008,0.0 minutes,,2.0,2.0,25.0,log8080,0.024,0.0,,Returning_Visitor,1.0,22.0,0.0,c_1,0.0,edge_99.0.1150.46,0
114,0.2,109.54682400468727,Feb,1045.833333 minutes,0.012903226,93.0 minutes,1138.833333,1.0,0.0,30.0,log200,0.035483871,1.0,,Returning_Visitor,1.0,0.0,0.0,c_3,0.0,safari_13,0
115,0.0,97.90105517775925,Feb,317.8333333 minutes,0.0,0.0 minutes,317.8333333,1.0,0.0,12.0,log200,0.005555556,0.0,,Returning_Visitor,1.0,0.0,0.0,c_4,1.0,safari_13,0
117,0.2,105.45939385635947,Feb,577.0 minutes,0.018181818,0.0 minutes,,2.0,0.0,11.0,log202,0.027272727000000004,0.0,,Returning_Visitor,3.0,0.0,0.0,c_1,0.0,chrome_99.1.4,0
118,0.0,102.06594861372739,Feb,95.0 minutes,0.0,0.0 minutes,,4.0,0.0,8.0,log202,0.075,0.0,,Returning_Visitor,3.0,0.0,0.0,c_3,0.0,safari_13.1,0
119,0.0,95.59845487886794,Feb,301.5 minutes,0.0,0.0 minutes,301.5,2.0,0.0,6.0,log202,0.111111111,0.0,,Returning_Visitor,9.0,0.0,0.0,c_3,0.0,,0
120,0.0,105.65383625084242,Feb,243.0 minutes,0.0,0.0 minutes,243.0,2.0,0.0,6.0,log202,0.033333333,0.0,,Returning_Visitor,4.0,,0.0,,0.0,edge_96.0.1054.72,0
121,0.6,113.87755652515875,Feb,135.5 minutes,0.0,0.0 minutes,135.5,2.0,,4.0,log8080,0.05,0.0,,Returning_Visitor,1.0,,0.0,c_2,0.0,chrome_98.0.1,0
122,0.8,99.95009022231525,Feb,442.33333330000005 minutes,0.0,75.0 minutes,,1.0,0.0,14.0,log8080,0.034375,2.0,,Returning_Visitor,3.0,0.0,0.0,c_3,0.0,safari_13.1,0
123,,107.45967233215873,Feb,41.0 minutes,0.0,0.0 minutes,41.0,1.0,0.0,3.0,log_100,0.066666667,0.0,,Returning_Visitor,3.0,0.0,0.0,c_3,0.0,safari_14,0
124,0.0,95.34722786890421,Feb,292.9 minutes,0.027999999999999997,0.0 minutes,,2.0,0.0,11.0,log200,0.11952381,0.0,,Returning_Visitor,3.0,0.0,0.0,c_1,0.0,edge_96.0.1054.75,0
125,0.0,98.9175132301135,Feb,0.0 minutes,0.2,0.0 minutes,0.0,1.0,0.0,1.0,log404,0.2,0.0,,Returning_Visitor,3.0,0.0,0.0,c_3,0.0,safari_15,0
126,0.4,77.77093664590134,Feb,1238.333333 minutes,0.0,0.0 minutes,,2.0,0.0,9.0,log404,0.040740741000000004,0.0,,Returning_Visitor,1.0,,0.0,c_3,0.0,chrome_99.1.4,0
128,0.6,92.04346986869771,Feb,1873.2166670000001 minutes,0.0,0.0 minutes,2335.216667,2.0,4.0,51.0,log200,0.00754717,0.0,,Returning_Visitor,9.0,462.0,0.0,c_3,0.0,chrome_99.1.3,0
129,0.0,95.44831192074011,Feb,,0.133333333,0.0 minutes,,2.0,0.0,3.0,log_100,0.166666667,0.0,,Returning_Visitor,1.0,0.0,0.0,,0.0,edge_97.0.1072.76,0
130,0.0,91.51720666525947,Feb,222.0 minutes,0.0,0.0 minutes,222.0,2.0,0.0,,log_100,0.1,0.0,,Returning_Visitor,1.0,0.0,0.0,,1.0,browser_6_v17,0
132,,100.61381300001118,Feb,,0.2,0.0 minutes,0.0,3.0,0.0,1.0,log200,0.2,0.0,,Returning_Visitor,3.0,0.0,0.0,c_3,0.0,chrome_99.1.4,0
133,0.8,96.3708222452809,Feb,2017.1666670000002 minutes,0.0,0.0 minutes,,2.0,0.0,6.0,log404,0.011111111000000002,0.0,,Returning_Visitor,4.0,0.0,0.0,c_3,0.0,chrome_89,0
134,,90.08492560060608,Feb,449.02777779999997 minutes,0.0,0.0 minutes,,1.0,6.0,26.0,log404,0.018518519,0.0,,Returning_Visitor,3.0,111.5,0.0,c_3,0.0,safari_15,0
135,0.0,90.82722005631226,Feb,158.16666669999998 minutes,0.0,0.0 minutes,158.16666669999998,3.0,0.0,6.0,log200,0.033333333,0.0,,Returning_Visitor,4.0,,0.0,c_2,0.0,,0
136,0.0,111.48689180546837,Feb,303.6666667 minutes,0.005555556,,303.6666667,2.0,0.0,9.0,log202,0.046296295999999994,0.0,,Returning_Visitor,5.0,0.0,0.0,c_2,0.0,edge_96.0.1054.75,0
137,0.0,96.19460044632103,Feb,25.0 minutes,0.0,0.0 minutes,,2.0,0.0,3.0,log202,0.066666667,0.0,,Returning_Visitor,1.0,0.0,0.0,c_5,0.0,edge_96.0.1054.75,0
138,,118.759055614305,Feb,42.0 minutes,0.05,0.0 minutes,42.0,2.0,0.0,2.0,log8080,0.15,0.0,,Returning_Visitor,1.0,0.0,0.0,c_4,0.0,chrome_89,0
139,0.2,92.5133241237644,Feb,1003.416667 minutes,0.0,0.0 minutes,,1.0,4.0,14.0,log200,0.018039216,0.0,,Returning_Visitor,3.0,103.625,0.0,c_3,0.0,safari_13,0
140,0.0,105.14443013500542,Feb,0.0 minutes,0.2,0.0 minutes,0.0,2.0,0.0,1.0,log400,0.2,0.0,,Returning_Visitor,7.0,0.0,0.0,c_3,0.0,,0
142,0.0,95.4965311512897,Feb,344.0 minutes,0.0,0.0 minutes,363.0,2.0,3.0,8.0,log_100,0.0074074069999999995,0.0,,Returning_Visitor,2.0,19.0,0.0,c_3,0.0,edge_98.0.1108.84,0
143,0.0,81.24945340256225,Feb,0.0 minutes,0.2,0.0 minutes,,2.0,0.0,1.0,log200,0.2,0.0,,Returning_Visitor,2.0,0.0,0.0,c_3,0.0,chrome_99.1.3,0
144,0.0,111.17550065970178,Feb,852.0 minutes,0.0,19.0 minutes,,2.0,0.0,10.0,log202,0.009090909,1.0,,Returning_Visitor,3.0,0.0,0.0,,0.0,chrome_99.1.4,0
